,nb_link,nb_id,cell_no,source_x,Mike_label_readable,Ge_label_readable
649,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1051445.ipynb,1051445,5,"['#Cycle over different income bins and plot loan amount distribution for each\n', '#focus on finding the best bins\n', '#repeat for different SQL selection filters (junior liens, non-owner-occupied, VA/FHA/RHS loans, manufactured housing)\n', 'bin_min = 0\n', 'bin_max = 20\n', 'bin_step = 30\n', 'bin_stop = 561\n', 'pct_of_loans = OrderedDict({})\n', 'end_flag = False\n', 'first = True\n', 'while bin_max < bank_df.income.max():\n', '    bin_stats = OrderedDict({})\n', '    if end_flag == True:\n', '        break\n', '    if bin_max >= bin_stop:\n', '        end_flag = True\n', '        graph_bin = bank_df[(bank_df.income >= bin_min)] #create tail bin for income over bin_stop\n', '        print(""bin stop"", ""*""*50)\n', ""        bin_stats['name'] = str(bin_stop) + ' and up' #set name for tail bin\n"", '    else:\n', '        graph_bin = bank_df[(bank_df.income >=bin_min) & (bank_df.income < bin_max)] #create bin of of amount for selected income\n', ""        bin_stats['name'] = str(bin_min) + ' to ' + str(bin_max)\n"", '    #set descriptive stats\n', '\n', ""    bin_stats['std']= graph_bin.amount.std()\n"", ""    bin_stats['mean'] = graph_bin.amount.mean()\n"", ""    bin_stats['median'] = graph_bin.amount.median()\n"", ""    bin_stats['max_mult'] = graph_bin.mult.max()\n"", ""    bin_stats['med_mult'] = graph_bin.mult.median()\n"", ""    bin_stats['min_mult'] = graph_bin.mult.min()\n"", ""    bin_stats['q98'] = graph_bin.amount.quantile(q=.98)\n"", ""    bin_stats['q02'] = graph_bin.amount.quantile(q=.02)\n"", ""    bin_stats['q75'] = graph_bin.amount.quantile(q=.75)\n"", ""    bin_stats['q25'] = graph_bin.amount.quantile(q=.25)\n"", ""    bin_stats['iqr'] = bin_stats['q75'] - bin_stats['q25']\n"", ""    bin_stats['min_q'] = bin_stats['q25'] - 1.5 * bin_stats['iqr']\n"", ""    bin_stats['max_q'] = bin_stats['q75'] + 1.5 * bin_stats['iqr']\n"", ""    bin_stats['count of loans'] = graph_bin.amount.count()\n"", ""    bin_stats['pct of total loans'] = (graph_bin.amount.count() / bank_df.income.count()) * 100\n"", '\n', '    #iterate over dataframe bin to remove outliers using IQR * 1.5\n', '    count=1\n', '    while True:\n', '        #remove outliers\n', ""        start_max_q = bin_stats['max_q']\n"", '        if bin_max >= bin_stop and count == 1:\n', '            graph_bin = bank_df[(bank_df.income >= bin_min)] #create tail bin for income over bin_stop\n', '        else:\n', ""            graph_bin = graph_bin[(graph_bin.amount > bin_stats['min_q']) & (graph_bin.amount < bin_stats['max_q'])]\n"", ""        print('\\n\\niteration {num}'.format(num=count))\n"", '        #reset bin stats to reflect IQR cutoffs\n', ""        bin_stats['std']= graph_bin.amount.std()\n"", ""        bin_stats['mean'] = graph_bin.amount.mean()\n"", ""        bin_stats['median'] = graph_bin.amount.median()\n"", ""        bin_stats['max_mult'] = graph_bin.mult.max()\n"", ""        bin_stats['med_mult'] = graph_bin.mult.median()\n"", ""        bin_stats['min_mult'] = graph_bin.mult.min()\n"", ""        bin_stats['q98'] = graph_bin.amount.quantile(q=.98)\n"", ""        bin_stats['q02'] = graph_bin.amount.quantile(q=.02)\n"", ""        bin_stats['q75'] = graph_bin.amount.quantile(q=.75)\n"", ""        bin_stats['q25'] = graph_bin.amount.quantile(q=.25)\n"", ""        bin_stats['iqr'] = bin_stats['q75'] - bin_stats['q25']\n"", ""        bin_stats['min_q'] = bin_stats['q25'] - 1.5 * bin_stats['iqr']\n"", ""        bin_stats['max_q'] = bin_stats['q75'] + 1.5 * bin_stats['iqr']\n"", '\n', '        count+=1\n', '        for key, value in bin_stats.items(): #print descriptive stats\n', '            print(key,value)\n', '        \n', ""        if start_max_q == bin_stats['max_q'] or count > 10:\n"", '            break\n', '            \n', '    if first: \n', '        first = False\n', '        bin_df = pd.DataFrame(bin_stats, index=range(1)) #instantiate initial dataframe\n', '    else:\n', '        concat_df = pd.DataFrame(bin_stats, index=range(1)) #instantiate subsequent dataframe \n', '        bin_df = pd.concat([bin_df, concat_df], axis=0) #concatenate dataframes each cycle\n', '    \n', '    amt = graph_bin.amount#.apply(sqrt)\n', '    inc = graph_bin.income#.apply(sqrt) #square roots show much nicer distributions of amount to income\n', '    xmin = 0 #set minimum x axis value\n', '    xmax = 1000 #set maximum x axis value\n', '    xsteps= 1000 #set steps on x axis (bins)\n', '    bins = np.linspace(xmin,xmax, xsteps)\n', '    #print(bins)\n', '    bin_viz = plt.figure(figsize=(10,5))\n', ""    plt.hist(inc, bins, label='income', alpha=1)\n"", ""    plt.hist(amt, bins, label='amount', alpha=.5)\n"", ""    plt.title('income > '+str(bin_min)+' and < '+str(bin_max))\n"", ""    plt.legend(loc='upper right')\n"", '    plt.xticks(np.arange(xmin,xmax, 50))\n', '    ax = plt.subplot()\n', '    #ax.set_ylim(0, 2000)\n', '    plt.show(bin_viz)\n', '    bin_min=bin_max\n', '    bin_max += bin_step\n', ""    pct_of_loans[bin_max] = bin_stats['pct of total loans']\n"", '    \n', ""path = '../linked_dist_stats/'\n"", 'if not os.path.exists(path):\n', '    os.makedirs(path)\n', ""bin_df.to_csv(path+'IQR_{loanType}.csv'.format(loanType=loanType))""]",WRANGLE,EXPLORE
650,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1051445.ipynb,1051445,6,"['\n', 'bin_df.reset_index(inplace=True, drop=True) #set an integer index instead of index passed at creation\n', 'bin_df.head(20)']",WRANGLE,EXPLORE
334,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1058499.ipynb,1058499,27,"['##Before any thing, lets split the entire data set into training and test. \n', '# Split the data into a 70/30 train/test split\n', 'X_train, X_test, y_train, y_test = train_test_split(df.ingredients, df.cuisine_group, test_size=0.3)\n', 'unique_cuisine_group = df.cuisine_group.unique().tolist()\n', '##For us to be able to use any of the prediction models we need turn the cuisine groups from earlier into numerical labels.\n', '## We use the standard Label Encoder to this.\n', 'from sklearn.preprocessing import LabelEncoder\n', 'le= LabelEncoder()\n', 'le.fit(unique_cuisine_group)\n', 'y_train =  le.transform(y_train)\n', 'y_test =  le.transform(y_test)\n', 'le.classes_']",WRANGLE,MODEL
335,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1058499.ipynb,1058499,28,"['##Build the Document Term Matrix based on the vectorizer that was created earler. \n', 'train_simple_dtm = count_vect.transform(X_train)\n', 'test_simple_dtm = count_vect.transform(X_test)\n', '\n', '##Given that we have a set of feature vectors that have a binary occurence probability in a certain dish/document, we \n', '#look at the naive bayseien model as our initial model. \n', '# Create the model\n', 'bnb = BernoulliNB()\n', '# Fit the model to the training data\n', 'bnb.fit(train_simple_dtm, y_train)\n', '# Score the model against the test data\n', 'bnb.score(test_simple_dtm, y_test)']",WRANGLE,MODEL
481,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1059730.ipynb,1059730,23,"['print(""A Calendar Is A Markov Transition Matrix"")\n', 'table = [["" "", ""S"", ""M"", ""T"", ""W"", ""T"", ""F"", ""S""],\n', '         [""S"", ""0"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0"",],\n', '         [""M"", ""0"", ""0"", ""1"", ""0"", ""0"", ""0"", ""0"",],\n', '         [""T"", ""0"", ""0"", ""0"", ""1"", ""0"", ""0"", ""0"",],\n', '         [""W"", ""0"", ""0"", ""0"", ""0"", ""1"", ""0"", ""0"",],\n', '         [""T"", ""0"", ""0"", ""0"", ""0"", ""0"", ""1"", ""0"",],\n', '         [""F"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""1"",],\n', '         [""S"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"",],]\n', 'print(tabulate(table, tablefmt=""fancy_grid"", numalign = ""center""))\n', 'print()']",WRANGLE,EXPLORE
482,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1059730.ipynb,1059730,24,"['print(""Day of Week Vector: Today is Friday"")\n', 'table = [[""S"", ""M"", ""T"", ""W"", ""T"", ""F"", ""S""],\n', '         [""0"", ""0"", ""0"", ""0"", ""0"", ""1"", ""0"",]]\n', 'print(tabulate(table, tablefmt=""fancy_grid"", numalign = ""center""))\n', 'print()']",WRANGLE,EXPLORE
707,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1062193.ipynb,1062193,7,"[""df_housing_earnnet.sort_values(by='Working time req to rent 3-room',inplace=True)\n"", '# sorting before plotting\n', 'df_housing_earnnet.head()']",EXPLORE,WRANGLE
1650,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068026.ipynb,1068026,7,"['# Check the number of different displays\n', 'imageType = data.MediaName.unique()\n', 'len(imageType)']",EXPLORE,WRANGLE
1654,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068026.ipynb,1068026,11,"['# A class to check if the eye position falls into AOI \n', 'class AOI:\n', '    def init(self,aoitype,position,size):\n', ""    # AOItype = 'rectangle', 'circle'\n"", '    # pos = (x,y) position\n', '    # size = [width height] list \n', '    \n', '    # Check the format of AOI type and eye position \n', ""        if aoitype not in ['rectangle','circle']:\n"", '            raise Exception(""Error: aoitype is not recognized."")\n', '        else:\n', '            self.aoitype = aoitype\n', '    \n', '        if type(position) not in [tuple, list]:\n', '            raise Exception(""Error: AOI position should be an tuple or list"")\n', '        else:\n', '            self.position = position\n', '    \n', '    # check the AOI size\n', '        if type(size) == tuple:\n', '            size = [size[0],size[1]]\n', '        elif type(size) == list:\n', '            pass\n', '        else:\n', '            raise Exception(""Error: AOI size should be a list of integer values"")    \n', '        self.size = [int(size[0]),int(size[1])]\n', '\n', '    # Check if the eye position falls into AOI     \n', '    def contains(self, position):\n', '        inside = 0; \n', ""        if self.aoitype == 'circle':\n"", '            if (self.position[0]-position[0])**2 + (self.position[1]-position[1])**2 < self.r**2:\n', '                inside = 1;\n', ""        elif self.aoitype == 'rectangle':\n"", '            if (position[0] > self.position[0] and position[0] < self.position[0]+self.size[0]) and (position[1] > self.position[1] and position[1] < self.position[1]+self.size[1]):\n', '                inside = 1;\n', '        else:\n', '            raise Exception(""Error: aoitype is not recognized."")   \n', '        return inside ']",WRANGLE,MODEL
1657,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068026.ipynb,1068026,14,"['# Check if the eye positions fall into the left AOI \n', 'sub = AOI()\n', 'insideL = []\n', 'sub.init(AOItype,AOILposition,AOIsize)\n', 'for j in range (57, len(Position[0])+57):\n', '    xCoord = Position[0][j]\n', '    yCoord = Position[1][j]\n', '    p = [xCoord, yCoord]\n', '    if sub.contains(p) == 1:\n', '        insideL.append(p)']",WRANGLE,MODEL
1658,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068026.ipynb,1068026,15,"['# Check if the eye positions fall into the right AOI \n', 'insideR = []\n', 'sub.init(AOItype,AOIRposition,AOIsize)\n', 'for j in range (57, len(Position[1])+57):\n', '    xCoord = Position[0][j]\n', '    yCoord = Position[1][j]\n', '    p = [xCoord, yCoord]\n', '    # Store the inside range eye positions into a list \n', '    if sub.contains(p) == 1:\n', '        insideR.append(p)']",WRANGLE,EVALUATE
1107,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,8,"[""pop[('California', 2010):('Texas', 2000)]""]",WRANGLE,EXPLORE
1108,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,10,['pop[[i for i in pop.index if i[1] == 2010]]'],WRANGLE,EXPLORE
1109,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,13,"['index = pd.MultiIndex.from_tuples(index)\n', 'index']",WRANGLE,EXPLORE
1110,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,15,"['pop = pop.reindex(index)\n', 'pop']",WRANGLE,EXPLORE
1112,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,21,"['pop_df = pop.unstack()\n', 'pop_df']",WRANGLE,EXPLORE
1118,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,35,"[""pd.MultiIndex.from_arrays([['a', 'a', 'b', 'b'], [1, 2, 1, 2]])""]",EXPLORE,WRANGLE
1119,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,37,"[""pd.MultiIndex.from_tuples([('a', 1), ('a', 2), ('b', 1), ('b', 2)])""]",EXPLORE,WRANGLE
1120,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,39,"[""pd.MultiIndex.from_product([['a', 'b'], [1, 2]])""]",EXPLORE,WRANGLE
1121,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,41,"[""pd.MultiIndex(levels=[['a', 'b'], [1, 2]],\n"", '              labels=[[0, 0, 1, 1], [0, 1, 0, 1]])']",EXPLORE,WRANGLE
1137,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,77,"['idx = pd.IndexSlice\n', ""health_data.loc[idx[:, 1], idx[:, 'HR']]""]",WRANGLE,EXPLORE
1140,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,85,"['data = data.sort_index()\n', 'data']",WRANGLE,EXPLORE
1145,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,94,"[""pop_flat = pop.reset_index(name='population')\n"", 'pop_flat']",EXPLORE,WRANGLE
1148,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1068488.ipynb,1068488,101,"[""data_mean = health_data.mean(level='year')\n"", 'data_mean']",WRANGLE,EXPLORE
643,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1071938.ipynb,1071938,31,"[""importance=pd.DataFrame({'words': vectorizer.get_feature_names(), 'importance': model.feature_importances_})\n"", ""importance[importance.importance>0].sort_values(by = 'importance').tail(20)""]",WRANGLE,EVALUATE
349,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1073105.ipynb,1073105,2,"['import numpy as np\n', 'from scipy import linalg as la\n', 'from os import walk\n', 'from scipy.ndimage import imread\n', 'from matplotlib import pyplot as plt\n', 'import matplotlib.cm as cm\n', 'import random\n', '\n', 'class FacialRec:\n', '     ##########Members##########\n', '     #   F, mu, Fbar, and U\n', '     ###########################\n', '     def __init__(self,path):\n', '         self.initFaces(path)\n', '         self.initMeanImage()\n', '         self.initDifferences()\n', '         self.initEigenfaces()\n', '     def initFaces(self, path):\n', '         self.F = getFaces(path)\n', '     def initMeanImage(self):\n', '         m,n = self.F.shape\n', '         self.mu = np.sum(self.F, axis = 1)/float(n)\n', '     def initDifferences(self):\n', '         m,n = self.F.shape\n', '         self.mu = self.mu.reshape(len(self.mu),1)\n', '         diff = np.tile(self.mu, n)\n', '         self.Fbar = self.F-diff\n', '     def initEigenfaces(self):\n', '         self.U, s, Vt = la.svd(self.Fbar, full_matrices =False)\n', '     def project(self, A, s=38):\n', '         A_s = np.dot(self.U.T, A)\n', '         return A_s\n', '     def findNearest(self, image, s=38):\n', '         image = image.reshape(len(image),1)\n', '         ghat = self.project(image - self.mu)\n', '         fhat = self.project(self.Fbar)\n', '         diff = (fhat.T-ghat.T).T\n', '         i = np.linalg.norm(diff, ord=2, axis =0)\n', '         return np.argmin(i)\n']",IMPORT,MODEL
355,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1073105.ipynb,1073105,14,"['def test1():\n', '    test_images = sampleFaces(7)\n', '    facial = FacialRec(""faces94"")\n', '    for i in test_images.T:\n', '        a = facial.findNearest(i)\n', '        show2(i, facial.F[:,a])\n', 'test1()']",EXPLORE,EVALUATE
1192,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1088637.ipynb,1088637,1,"['import numpy as np\n', 'def fitness(member):\n', '    member = np.asarray(member)\n', '    if member.ndim == 2:\n', '        _, n_genes = member.shape\n', '        indiv_fitnesses = member.sum(axis=1)\n', '        return indiv_fitnesses.mean()\n', '        \n', '    return member.sum()']",WRANGLE,MODEL
1193,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1088637.ipynb,1088637,3,"['def produce_offspring(parents, mutate=False, p=0.00):\n', '    n_parents, n_genes = parents.shape\n', '    gene_to_pull = np.random.randint(n_parents, size=n_genes)\n', '    child = [parents[gene_to_pull[k]][k] for k in range(n_genes)]\n', '    child = np.array(child)\n', '    \n', '    if mutate:\n', '        genes_to_flip = np.random.choice([0, 1], size=child.shape, p=[1-p, p])\n', '        i = np.argwhere(genes_to_flip == 1)\n', '        child[i] = 1 - child[i]\n', '        \n', '    return child']",WRANGLE,MODEL
1194,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1088637.ipynb,1088637,5,"['def one_generation(members, n_parents=2, **kwargs):\n', '    """""" members: 2D np.ndarray\n', '            members.shape = (n_parents, n_genes) """"""\n', '    parents = np.random.permutation(members) \n', '    children = []\n', '    for parent_group in range(len(parents) // n_parents):\n', '        parents_group = parents[parent_group * n_parents : (parent_group + 1) * n_parents]\n', '        children += [produce_offspring(parents_group, **kwargs) for _ in range(2*n_parents)]\n', '    children = np.array(children)\n', '    # make sure we produce (approximately) 2*N children when we have N parents\n', '    assert np.abs(len(children) - 2*len(parents)) < n_mates + 2\n', '    return children ']",WRANGLE,MODEL
1195,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1088637.ipynb,1088637,7,"['def evolve(n_parents=2000, n_mates=2, n_genes=200, n_generations=100, p_fit=0.5, verbose=10):\n', '    parents = np.random.choice([0, 1], size=(n_parents, n_genes), p=[1-p_fit, p_fit])\n', '    child = produce_offspring(parents)\n', '\n', '    data = []\n', '    for generation in range(n_generations):\n', '        if verbose and generation % verbose == 0:\n', ""            print('Generation {} for n_mates = {} with {} parents'.format(generation, n_mates, len(parents)))\n"", '            \n', '        children = one_generation(parents, n_parents=n_mates, mutate=True, p=0.01)\n', '        \n', '        # kill half the children\n', '        children_fitness = np.array([fitness(child) for child in children])\n', '        i = np.argsort(children_fitness)\n', '        children = children[i]\n', '        parents = children[len(children) // 2:].copy()\n', '        \n', ""        data += [{'fitness': fitness(parents), 'generation': generation,\n"", ""                  'n_mates': n_mates, 'n_parents': n_parents,\n"", ""                  'n_genes': n_genes, 'n_generations': n_generations}]\n"", '        \n', '    return data']",WRANGLE,MODEL
1197,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1088637.ipynb,1088637,11,"['from altair import Chart\n', 'import pandas as pd\n', '\n', 'df = pd.DataFrame(data)\n', 'Chart(df).mark_line().encode(\n', ""    x='generation', y='fitness', color='n_mates')\n"", '    ']",EXPLORE,EVALUATE
373,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1089165.ipynb,1089165,17,"['def plot_decision_regions(X,y,classifier,resolution=0.02):\n', ""    markers = ('s', 'x', 'o', '^', 'v')\n"", ""    colors = ('red', 'blue', 'lightgreen', 'gray', 'cyan')\n"", '    cmap = ListedColormap(colors[:len(np.unique(y))])\n', '    x1_min, x1_max = X[:,0].min() -1, X[:,0].max() + 1\n', '    x2_min, x2_max = X[:,1].min() -1, X[:,1].max() + 1\n', '    xx1, xx2 = np.meshgrid(np.arange(x1_min, x1_max,resolution),np.arange(x2_min, x2_max, resolution))\n', '    Z = classifier.predict(np.array([xx1.ravel(), xx2.ravel()]).T)\n', '    Z = Z.reshape(xx1.shape)\n', '    plt.contourf(xx1, xx2, Z, alpha=0.4, cmap=cmap)\n', '    plt.xlim(xx1.min(), xx1.max())\n', '    plt.ylim(xx2.min(), xx2.max())\n', '    for idx, cl in enumerate(np.unique(y)):\n', '        plt.scatter(x=X[y==cl, 0], y=X[y==cl,1], alpha=0.8, c=cmap(idx), marker=markers[idx], label=cl)\n', '        ']",EXPLORE,EVALUATE
374,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1089165.ipynb,1089165,18,"['plot_decision_regions(X,y,classifier=ppn)\n']",EXPLORE,EVALUATE
380,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1089165.ipynb,1089165,24,['plt.show()'],EXPLORE,EVALUATE
570,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1089313.ipynb,1089313,0,"['from sklearn import datasets\n', 'from sklearn.naive_bayes import GaussianNB, BernoulliNB, MultinomialNB\n', '\n', 'digits = datasets.load_digits()\n', 'cancer = datasets.load_breast_cancer()']",IMPORT,WRANGLE
1467,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1090152.ipynb,1090152,4,"[""event_counts = data['Event'].value_counts()\n"", 'print len(event_counts)']",EXPLORE,WRANGLE
1469,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1090152.ipynb,1090152,6,"[""sport_counts = data['Sport'].value_counts()\n"", 'print len(sport_counts)']",EXPLORE,WRANGLE
1474,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1090152.ipynb,1090152,11,"['def isint(x):\n', '    try:\n', '        a = float(x)\n', '        b = int(a)\n', '    except ValueError:\n', '        return False\n', '    else:\n', '        return a == b']",WRANGLE,EXPLORE
1291,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1090484.ipynb,1090484,4,"[""pastel = sb.color_palette('pastel')\n"", ""sb.set_context('talk')""]",WRANGLE,EXPLORE
504,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1096612.ipynb,1096612,5,"[""FORMULA1 = ('treatment ~ inwyr07_f + yrbrn60_f + yrbrn60_f2 + '\n"", ""            'edurank_f + hincrank_f +'\n"", ""            'tvtot_f + rdtot_f + nwsptot_f')\n"", '\n', 'def compute_delta(group, country):\n', ""    group['yrbrn60_f2'] = group.yrbrn60_f ** 2\n"", ""    group['propensity'] = np.nan\n"", ""    group['treatment'] = np.nan\n"", '        \n', '    # quantize netuse to get treatment variable\n', '    # choose threshold close to the median\n', '    netuse = group.netuse_f\n', '    thresh = netuse.median()\n', '    if thresh < 1:\n', '        thresh = 1\n', '    group.treatment = (netuse >= thresh).astype(int)\n', '\n', '    # compute propensities\n', '    model = smf.logit(FORMULA1, data=group)    \n', '    results = model.fit(disp=False)\n', '    group.propensity = results.predict(group)\n', '    \n', '    # divide into treatment and control groups\n', '    treatment = group[group.treatment == 1]\n', '    control = group[group.treatment == 0]\n', '    \n', '    # sort the propensities of the controls (for fast lookup)\n', '    series = control.propensity.sort_values()\n', '\n', '    # look up the propensities of the treatment group\n', '    # to find (approx) closest matches in the control group\n', '    indices = series.searchsorted(treatment.propensity)\n', '    indices[indices < 0] = 0\n', '    indices[indices >= len(control)] = len(control)-1\n', '    \n', '    # use the indices to select the matches\n', '    control_indices = series.index[indices]\n', '    matches = control.loc[control_indices]\n', '\n', '    # find distances and differences\n', '    distances = (treatment.propensity.values - \n', '                 matches.propensity.values)\n', '    differences = (treatment.rlgdgr_f.values - \n', '                   matches.rlgdgr_f.values)\n', '    \n', '    # select differences with small distances\n', '    caliper = differences[abs(distances) < 0.001]\n', '\n', '    # return the mean difference\n', '    delta = np.mean(caliper)\n', '    return delta']",WRANGLE,MODEL
505,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1096612.ipynb,1096612,6,"['def process_frame(df, country_map):\n', ""    grouped = df.groupby('cntry')\n"", '    for code, group in grouped:\n', '        country = country_map[code]\n', '\n', '        # compute mean difference between matched pairs\n', '        delta = compute_delta(group, country)\n', '        d = dict(delta=delta)\n', '        country.add_params(d)']",WRANGLE,MODEL
506,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1096612.ipynb,1096612,7,"['def process_all_frames(store, country_map, num=201):\n', '    """"""Loops through the store and processes frames.\n', '    \n', '    store: store\n', '    country_map: map from code to Country\n', '    num: how many resamplings to process\n', '    reg_func: function used to compute regression\n', '    formula: string Patsy formula\n', ""    model_num: which model we're running\n"", '    """"""\n', '    for i, key in enumerate(store.keys()):\n', '        if i >= num:\n', '            break\n', '        print(i, key)\n', '        df = store.get(key)\n', '        process_frame(df, country_map)']",WRANGLE,MODEL
507,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1096612.ipynb,1096612,8,"['process_all_frames(store, country_map, num=101)']",WRANGLE,MODEL
513,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1096612.ipynb,1096612,15,"[""xlabel1 = 'Difference in religiosity (10 point scale)'""]",WRANGLE,EXPLORE
514,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1096612.ipynb,1096612,16,"['xlim = [-2.5, 1.0]']",WRANGLE,EXPLORE
1341,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1098281.ipynb,1098281,1,"[""engine = create_engine('postgresql://{}:{}@{}/{}'.format(\n"", ""                os.environ['PGUSER'], os.environ['PGPASSWORD'],\n"", ""                os.environ['PGHOST'], os.environ['PGDATABASE']))""]",WRANGLE,IMPORT
1342,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1098281.ipynb,1098281,2,"['import features\n', 'db = features.FeatureStorage()']",WRANGLE,IMPORT
1213,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1103327.ipynb,1103327,7,"[""recent = df[df['year'] == 2014]\n"", 'recent.head(3)']",EXPLORE,WRANGLE
579,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1103777.ipynb,1103777,7,"['ros = wqio.robustros.RobustROSEstimator(data=df)\n', 'np.median(ros.estimated_values)']",EXPLORE,MODEL
580,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1103777.ipynb,1103777,9,"['nsqdata.season_medians.query(""parameter == \'Cadmium (Cd)\' and season == \'spring\'"")']",EXPLORE,EVALUATE
305,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1105414.ipynb,1105414,1,"['import sys\n', ""sys.path.append('D:\\Andres\\Documents\\Python Scripts')\n"", '\n', 'import conexiones\n', '\n', 'cStr = conexiones.cnxPg.format(""Cuyucha"")']",WRANGLE,IMPORT
1424,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1108440.ipynb,1108440,7,"['for message_no, message in enumerate(messages[:10]):\n', '    print(message_no, message)\n', ""    print('\\n')""]",WRANGLE,EXPLORE
1429,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1108440.ipynb,1108440,19,"[""messages['length'] = messages['message'].apply(len)\n"", 'messages.head()']",EXPLORE,WRANGLE
1436,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1108440.ipynb,1108440,34,"['from nltk.corpus import stopwords\n', ""stopwords.words('english')[0:10] # Show some stop words""]",EXPLORE,IMPORT
1445,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1108440.ipynb,1108440,51,"['# Might take awhile...\n', ""bow_transformer = CountVectorizer(analyzer=text_process).fit(messages['message'])\n"", '\n', '# Print total number of vocab words\n', 'print(len(bow_transformer.vocabulary_))']",EXPLORE,WRANGLE
1446,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1108440.ipynb,1108440,53,"[""message4 = messages['message'][3]\n"", 'print(message4)']",EXPLORE,WRANGLE
1447,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1108440.ipynb,1108440,55,"['bow4 = bow_transformer.transform([message4])\n', 'print(bow4)\n', 'print(bow4.shape)']",EXPLORE,WRANGLE
1448,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1108440.ipynb,1108440,57,"['print(bow_transformer.get_feature_names()[4073])\n', 'print(bow_transformer.get_feature_names()[9570])']",EXPLORE,WRANGLE
1454,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1108440.ipynb,1108440,67,"['messages_tfidf = tfidf_transformer.transform(messages_bow)\n', 'print(messages_tfidf.shape)']",WRANGLE,EXPLORE
1456,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1108440.ipynb,1108440,74,"[""print('predicted:', spam_detect_model.predict(tfidf4)[0])\n"", ""print('expected:', messages.label[3])""]",EXPLORE,EVALUATE
